5960,-2.8512e+06,6.28544e+06,-776035,-6.45462,114.4,567519,1648.1,-167.047,-7473.49
0,-5.3493e+06,4.36656e+06,730743,6.07793,140.776,565869,285.378,1615.17,-7478.92
5970,-2.83455e+06,6.28339e+06,-850722,-7.07868,114.281,567645,1681.52,-244.003,-7463.77
5980,-2.81757e+06,6.28056e+06,-925307,-7.70269,114.162,567776,1714.62,-320.976,-7453.17
5990,-2.80026e+06,6.27697e+06,-999782,-8.32665,114.042,567910,1747.41,-397.955,-7441.67
10,-5.34612e+06,4.38245e+06,655911,5.45353,140.657,565911,351.162,1562.79,-7487.21
20,-5.34228e+06,4.39782e+06,581002,4.82912,140.538,565956,416.826,1510.13,-7494.6
30,-5.33779e+06,4.41265e+06,506022,4.2047,140.42,566006,482.361,1457.2,-7501.1
40,-5.33263e+06,4.42696e+06,430982,3.58027,140.302,566060,547.761,1403.99,-7506.7
50,-5.32683e+06,4.44073e+06,355891,2.95585,140.184,566119,613.016,1350.53,-7511.4
60,-5.32037e+06,4.45397e+06,280757,2.33142,140.066,566181,678.118,1296.82,-7515.21
70,-5.31327e+06,4.46667e+06,205590,1.707,139.947,566248,743.059,1242.86,-7518.11
80,-5.30551e+06,4.47882e+06,130398,1.08258,139.83,566320,807.831,1188.65,-7520.12
90,-5.29711e+06,4.49044e+06,55190.4,0.458169,139.712,566396,872.426,1134.22,-7521.23
100,-5.28807e+06,4.50151e+06,-20023.8,-0.166226,139.594,566476,936.836,1079.55,-7521.44
110,-5.27838e+06,4.51203e+06,-95235.6,-0.790607,139.476,566560,1001.05,1024.67,-7520.75
120,-5.26805e+06,4.522e+06,-170436,-1.41497,139.358,566649,1065.07,969.573,-7519.16
130,-5.25708e+06,4.53142e+06,-245616,-2.03931,139.24,566741,1128.87,914.271,-7516.68
140,-5.24547e+06,4.54029e+06,-320767,-2.66362,139.122,566839,1192.46,858.769,-7513.29
150,-5.23323e+06,4.54859e+06,-395879,-3.28791,139.004,566940,1255.83,803.075,-7509.01
