Configure run and logs directory,277962
Configure simulator,403544933
Setup TCP parameters,3033145
Setup Quic parameters,2801329
Create initial two line element,103313471
Set distributed node system id assignment,1943286
Create satellite objects,980787740
Create ground station objects,405489637
Install Internet stacks,5333724609
Create inter-satellite links,80019756642
Initialize satellite-to-ground links,10813505132
Initialize link propagation delay,297894519
Read SAG application schedule,2703406
Remove previous SAG application log files,35535
Setup applications on endpoint nodes,512244
Read flow schedule,2239277
Remove previous flow log files,27217
Setup traffic TCP flow starter,267308
Read flow schedule,1858195
Remove previous flow log files,17475
Setup traffic Quic flow starter,6103
Read SAG application schedule,2130282
Remove previous flow log files,17305
Setup applications on endpoint nodes,268199
Setup ground2satellite routing arbiter on each node,3148604939
Initialize ground2satellite routing on each node,18976491
Setup routing arbiter on each satellite node,3028429850
Initialize minimum hop routing on each satellite node,20553003
Whatever is between previous timestamp and the simulation run,127926
Run simulation,214362693428
Write application log files,814897
Write TCP flow log files,314977
Write QUIC flow log files,301119
Write RTP flow log files,496001
Destroy simulator,3477842752
